path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country	region	language
				Памяти тренера	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/412-pamyati-trenera	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Для начинающих  фермеров	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/379-dlya-nachinayushchikh-fermerov	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Пришла Коляда – отворяй ворота!	06.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/311-prishla-kolyada-otvoryaj-vorota	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Не пора ли заняться рассадой?	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/411-ne-pora-li-zanyatsya-rassadoj	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				«Она заменила мне маму» (конкурс "Сделай селфи с бабушкой!")	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/401-ona-zamenila-mne-mamu-konkurs-sdelaj-selfi-s-babushkoj	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Пенсия в повышенном размере	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/381-pensiya-v-povyshennom-razmere	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Берегите своё время	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/314-beregite-svojo-vremya?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Незабытая Победа	03.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/370-nezabytaya-pobeda	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Продолжается приём работ на конкурс "Я служу России!"	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/400-gorzhus-tem-chto-ya-zhena-ofitsera?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Под знаменем успеха	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/352-pod-znamenem-uspekha	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Пойдём в кино!	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/319-pojdjom-v-kino	Белорецкий рабочий			газета	Россия	Белорецкий	ru
